contrast_a	contrast_b	stat_spearman	log2fc_spearman	deg_jaccard	shared_deg	shared_deg_sign_agreement
SoravsNC	SpivsNC	0.46660590728529594	0.45497258645572114	0.11589958158995815	277	0.9422382671480144
SoravsNC	TegvsNC	0.5679774037341857	0.5234535480215134	0.1528991262907069	385	0.948051948051948
SpivsNC	TegvsNC	0.46692662540736346	0.46713380248658354	0.2153325817361894	191	0.9895287958115183
