sample	PC1	PC2	PC3	PC4	group
NC.1	-7.566194985829248	-4.544611875995292	3.1798194093058836	-0.09447783981427357	NC
NC.2	-7.689133260250749	-4.718095999738825	3.1321862342136324	0.8595069813460835	NC
NC.3	-7.384387575913638	-4.262552252786604	3.027230558988203	-0.7632740963574898	NC
Sora.1	14.357348787862641	-2.0445835695548005	0.25197486479936504	-0.5024935336974997	Sora
Sora.2	14.072400713545786	-0.4301149670186213	0.7942493513055283	1.1158439706648196	Sora
Sora.3	14.73568933197746	-0.8361270792191071	0.9299470133671085	-0.5002814944121428	Sora
Spi.1	-3.4350428422761055	-1.9243395656311952	-5.525585539117015	-0.42791826460175014	Spi
Spi.2	-4.2199852510222495	-0.9358148958274297	-5.762629515601026	0.6204614248913151	Spi
Spi.3	-2.995415990780891	0.15242129469122745	-4.355668269406143	-0.08987836590265072	Spi
Teg.1	-3.074585924323077	6.277209255624253	1.2051044667682824	-2.3143015338081314	Teg
Teg.2	-3.3060326870162644	6.086048550966135	1.4500776483236084	1.2347348767750435	Teg
Teg.3	-3.4946603159736847	7.180561104490269	1.673293777052576	0.8620778749166705	Teg
