sample	NC.1	NC.2	NC.3	Sora.1	Sora.2	Sora.3	Spi.1	Spi.2	Spi.3	Teg.1	Teg.2	Teg.3
NC.1	1.0	0.9982907624198237	0.9979815828853934	0.970995662829324	0.9701189223239343	0.9690569747770456	0.9918849459389116	0.9912610448067435	0.9911897245154039	0.9879620154518705	0.9884390848181477	0.9866864773606399
NC.2	0.9982907624198237	1.0	0.9978513997053068	0.9708744583939869	0.9700052679696516	0.9689635768035779	0.991758509063366	0.9911490025170576	0.9911821417075377	0.9878283687002739	0.9883207013473566	0.986623736691198
NC.3	0.9979815828853934	0.9978513997053068	1.0	0.9710672388674477	0.970410026210306	0.9692415887538592	0.9918235233079488	0.9914214083804013	0.991283274709669	0.9885507305241727	0.9884207642799385	0.9869751254268715
Sora.1	0.970995662829324	0.9708744583939869	0.9710672388674477	1.0	0.9971284667346807	0.9975217519644305	0.9773921971585201	0.976129008683342	0.9799758891165823	0.9788636604962775	0.9789576650074086	0.9776403220469283
Sora.2	0.9701189223239343	0.9700052679696516	0.970410026210306	0.9971284667346807	1.0	0.997521358014617	0.9765263787497189	0.9760537597038197	0.9798929644277176	0.9803553717537048	0.9800776438570831	0.9797057977965294
Sora.3	0.9690569747770456	0.9689635768035779	0.9692415887538592	0.9975217519644305	0.997521358014617	1.0	0.9755467559343529	0.9746408072875903	0.9788312440142031	0.9792001630508315	0.9787244691145105	0.977907903607083
Spi.1	0.9918849459389116	0.991758509063366	0.9918235233079488	0.9773921971585201	0.9765263787497189	0.9755467559343529	1.0	0.9974768595286978	0.997235733479149	0.9893818202317471	0.9895038110697841	0.9877563675897395
Spi.2	0.9912610448067435	0.9911490025170576	0.9914214083804013	0.976129008683342	0.9760537597038197	0.9746408072875903	0.9974768595286978	1.0	0.9973715873600317	0.990748753057726	0.9902663781847881	0.9893783295939172
Spi.3	0.9911897245154039	0.9911821417075377	0.991283274709669	0.9799758891165823	0.9798929644277176	0.9788312440142031	0.997235733479149	0.9973715873600317	1.0	0.9928178817388166	0.9924466749134656	0.9915580297681548
Teg.1	0.9879620154518705	0.9878283687002739	0.9885507305241727	0.9788636604962775	0.9803553717537048	0.9792001630508315	0.9893818202317471	0.990748753057726	0.9928178817388166	1.0	0.9963043661844111	0.9971368065521689
Teg.2	0.9884390848181477	0.9883207013473566	0.9884207642799385	0.9789576650074086	0.9800776438570831	0.9787244691145105	0.9895038110697841	0.9902663781847881	0.9924466749134656	0.9963043661844111	1.0	0.9973814034581885
Teg.3	0.9866864773606399	0.986623736691198	0.9869751254268715	0.9776403220469283	0.9797057977965294	0.977907903607083	0.9877563675897395	0.9893783295939172	0.9915580297681548	0.9971368065521689	0.9973814034581885	1.0
