ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000000003	1537.98915498662	0.0084296609669968	0.0669788947495108	0.125855480275127	0.899846323965972	0.940536431345033	TSPAN6
ENSG00000000419	1227.44574779414	-0.410076105375485	0.0779871990588727	-5.25824892192778	1.45433575299897e-07	1.30704695183557e-06	DPM1
ENSG00000000457	111.671969212236	-0.227887817812931	0.195677021229346	-1.16461205501402	0.244176061909034	0.402055574349556	SCYL3
ENSG00000000460	271.90166660938	-0.409999234484846	0.134347007563426	-3.05179283052719	0.0022747904345271	0.0083888721440779	FIRRM
ENSG00000001036	3423.90085743418	-0.081352666075051	0.0423022247579471	-1.92312972995038	0.0544637594837784	0.124300106855654	FUCA2
ENSG00000001084	2409.29708805593	-0.358326634015746	0.0558456027168288	-6.41638045940126	1.39552434143014e-10	1.87194341295811e-09	GCLC
ENSG00000001167	780.750375772951	-0.260299848858611	0.0730377954878201	-3.56390615461579	0.0003653766304049	0.0016672945421237	NFYA
ENSG00000001460	79.3997104625762	-0.553757756703095	0.215409716590672	-2.57071856120289	0.01014877652471	0.0306912871151464	STPG1
ENSG00000001461	222.611600132969	-0.0471209570102192	0.133890479907631	-0.351936575645463	0.724885828357066	0.83311227482076	NIPAL3
ENSG00000001497	760.128931730596	-0.106207313297253	0.0806694029850316	-1.31657492639384	0.187981147989976	0.330912169693598	LAS1L
ENSG00000001561	3.35268516245781	0.618841203573985	1.05974963661795	0.583950380534157	0.559253696092307		ENPP4
ENSG00000001617	685.517435175084	0.0190921221667604	0.0796446438912292	0.239716335386401	0.810550170321891	0.888764038428469	SEMA3F
ENSG00000001629	897.944154413222	0.22843239921382	0.0703087065815753	3.24899163020135	0.001158148858235	0.0046132360124976	ANKIB1
ENSG00000001630	3231.06446256575	-0.0460472513822265	0.061499519988977	-0.748741638804334	0.454012941616709	0.618012912126777	CYP51A1
ENSG00000001631	548.793717065639	0.171477482343075	0.109538649515809	1.56545185741336	0.117476997239416	0.230041965349546	KRIT1
ENSG00000002016	176.87682693736	0.166549352526794	0.154324952291046	1.07921207850234	0.280493196425989	0.44368525526032	RAD52
ENSG00000002079	9.21660575895093	0.386207424801585	0.637167140713726	0.60613204938499	0.544427070339571	0.69754852912014	
ENSG00000002330	145.719548936547	-0.057242714133077	0.159530870830012	-0.358819041325687	0.71973046706354	0.829638916235719	BAD
ENSG00000002549	1711.24527038288	0.173772202246321	0.0515709634943261	3.3695744750908	0.0007528434377695	0.0031612011053687	LAP3
ENSG00000002586	1403.14837321591	0.141570843802378	0.0585276956074177	2.41886926066563	0.0155688347538152	0.0441894199248243	CD99
ENSG00000002586_PAR_Y	1403.14837321591	0.141570843802378	0.0585276956074177	2.41886926066563	0.0155688347538152	0.0441894199248243	
ENSG00000002822	647.174923200033	-0.296317317811343	0.0952967486576472	-3.10941686873138	0.0018745702768756	0.0070558738133548	MAD1L1
ENSG00000002834	7866.85023433409	-0.129206171034702	0.0505021826167841	-2.5584274647124	0.0105146753272814	0.0315986274115853	LASP1
ENSG00000002919	262.586987027025	-0.190563788915461	0.126783715172995	-1.50306203486338	0.132823047747245	0.253216441447447	SNX11
ENSG00000003056	1458.04272519355	-0.210575648413954	0.0625962554139564	-3.36402947782407	0.0007681333842662	0.00321789900689	M6PR
ENSG00000003096	37.2567073920938	-0.272847226176056	0.345806598279371	-0.789016830603176	0.430102169635303	0.595418672086327	KLHL13
ENSG00000003137	4.13991766247886	-1.38553891992674	0.986091648109274	-1.40508128487181	0.15999710859183		CYP26B1
ENSG00000003147	0.89726412349786	0.436734407384696	1.98934468395636	0.21953682079675	0.826231900515774		ICA1
ENSG00000003249	853.300858360172	0.103534538732147	0.0882702623682909	1.17292660012914	0.240825241427401	0.397912940969675	DBNDD1
ENSG00000003393	886.594729974384	0.122896114930969	0.0706442182853492	1.73964859281989	0.081920741163898	0.17282172761617	ALS2
ENSG00000003400	597.052483930789	0.368363029773663	0.0894981632069453	4.1158725115051	3.85717477687387e-05	0.0002197667372871	CASP10
ENSG00000003402	1279.94523654639	-0.0095448274744056	0.0641708408908119	-0.148740882025317	0.881758100845106	0.932272495503987	CFLAR
ENSG00000003436	8295.07583129593	0.7052302157335	0.059918318258205	11.76985997328	5.58170836740294e-32	4.4554680978028194e-30	TFPI
ENSG00000003509	342.297094481604	-0.105020947470377	0.104101137147051	-1.00883573751962	0.313053418715756	0.479644250838702	NDUFAF7
ENSG00000003756	1712.27315400854	0.0279565570207353	0.060429041196322	0.462634462954822	0.643626401656786	0.775604644893354	RBM5
ENSG00000003987	28.2212561724955	0.448531201839709	0.35935545888205	1.24815469127722	0.211974412887215	0.362235849891536	MTMR7
ENSG00000003989	4750.3363674734	0.228211697670244	0.0708291242054678	3.22200366346796	0.0012729750748238	0.0050204501105673	SLC7A2
ENSG00000004059	955.728540543328	0.0447327228298546	0.0808326759368793	0.553399009885378	0.579990216762779	0.724328437181046	ARF5
ENSG00000004139	42.5621428197844	0.409148585745206	0.3022639953423	1.35361337125801	0.175859758736344	0.314612886364336	SARM1
ENSG00000004142	2032.85517069241	-0.176153954680924	0.0627021566983569	-2.80937632701142	0.0049637586226932	0.01654313959731	POLDIP2
ENSG00000004399	2816.98551647582	0.452939499500189	0.0562650725615304	8.05010069088354	8.27259483954081e-16	2.00073323552118e-14	PLXND1
ENSG00000004455	2397.69594562464	0.0618364919178152	0.0584188342222303	1.05850266855008	0.289826334814739	0.454103278370883	AK2
ENSG00000004478	1938.91618618336	-0.273594955302758	0.0578526905363437	-4.72916562334957	2.25444420124694e-06	1.66352522026437e-05	FKBP4
ENSG00000004487	3255.43101648475	0.020572101086281	0.0453506008332083	0.453623561944452	0.650099791773146	0.779803213662501	KDM1A
ENSG00000004534	1618.23570478617	0.534802308934318	0.0608294122759884	8.79183751616524	1.47133456198172e-18	4.44804202282684e-17	RBM6
ENSG00000004660	20.2147293252728	0.153735070721704	0.457019688539404	0.336386100154741	0.736579729875734	0.840708455512179	CAMKK1
ENSG00000004700	474.428847772369	-0.0383926542722043	0.0978823239542543	-0.392232761965758	0.694886239107446	0.812112269635561	RECQL
ENSG00000004766	230.090679365807	0.0689060159772486	0.128949291060701	0.534365217601796	0.593088878680483	0.735471966797164	VPS50
ENSG00000004776	4.13961186740736	-0.588992963358407	0.871929317684805	-0.675505400967975	0.499354721116392		HSPB6
ENSG00000004777	161.052644290467	0.674472157525245	0.179090245089652	3.76610215250757	0.0001658159709413	0.0008177915247841	ARHGAP33
ENSG00000004779	1693.02752877144	-0.113171091869811	0.0597756814921682	-1.89326309704456	0.0583228901100071	0.131386641365571	NDUFAB1
ENSG00000004809	1.00660514969905	-1.86423852995631	2.40689291464813	-0.774541533863317	0.438610616605378		SLC22A16
ENSG00000004838	6.08299586113407	0.298041933359919	0.835776341178646	0.35660489376812	0.721387613357386	0.830841290634807	ZMYND10
ENSG00000004864	1971.39206322118	-0.0862445340629187	0.0516395321561002	-1.67012617004762	0.0948944033729556	0.194469319875474	SLC25A13
ENSG00000004866	305.407934723748	-0.0341429822885957	0.125206396339496	-0.272693594630879	0.785088758910815	0.870804178889098	ST7
ENSG00000004897	2114.37413459395	-0.0758729913694278	0.0611169722312069	-1.24143897512459	0.214443628602412	0.364908231216925	CDC27
