ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000227232	78.0050274977818	0.103633002882335	0.201095375787109	0.51534254567866	0.606313673349195	0.754741670462526	WASH7P
ENSG00000278267	1.49921027711374	0.95011428119012	1.66509978215755	0.570605012006556	0.568267420302891		MIR6859-1
ENSG00000233750	1.1492782293481	-0.309144519550218	1.51513669523539	-0.204037378622257	0.838324289358236		CICP27
ENSG00000268903	2.3451881053644	0.938255258327113	1.36716239036372	0.686279307374377	0.492536995074246		ENSG00000268903
ENSG00000269981	9.96280893993318	0.308726424625165	0.603739709999023	0.511356830621038	0.609101217407004	0.756413657796935	ENSG00000269981
ENSG00000241860	14.9046422391275	1.03136583214317	0.500648514678406	2.0600597063704	0.0393928332915179	0.112131234263217	ENSG00000241860
ENSG00000279457	120.8494305368	0.61557945821587	0.180874010641265	3.40336047192968	0.0006656240028566	0.0038065881239162	WASH9P
ENSG00000228463	34.417711666743	0.406139073179447	0.333510240781371	1.2177709213004	0.223311037466048	0.395957506652761	ENSG00000228463
ENSG00000237094	35.1022123048514	0.576205334446458	0.304263003079786	1.89377390157212	0.0582550272089101	0.151182368123551	ENSG00000237094
ENSG00000250575	2.58347734598221	-0.369112012769137	1.14702918763749	-0.321798273964927	0.7476055219839		ENSG00000250575
ENSG00000230021	18.1433143856426	-0.307385287142312	0.400353850281629	-0.767784016379714	0.442615511953111	0.622001869127825	ENSG00000230021
ENSG00000225972	12.583267676363	-0.70632860989069	0.481744854189078	-1.46618817772253	0.142597028456266	0.291613069220436	MTND1P23
ENSG00000225630	82.3567553910327	0.228739227494549	0.210049873553826	1.0889757923893	0.276164560939091	0.458398454608247	MTND2P28
ENSG00000237973	644.025878588692	-0.23920210430395	0.0996346188276274	-2.40079308897423	0.0163595839276038	0.0559197218469013	MTCO1P12
ENSG00000229344	6.3904391279405	-0.731734443514605	0.741450724099921	-0.986895581500563	0.323693830560387	0.509002095801007	MTCO2P12
ENSG00000248527	3593.93681574196	-0.28521747062135	0.076858148946993	-3.71095940416229	0.000206475217545	0.0013792814103894	MTATP6P1
ENSG00000198744	12.4685726429975	0.384038521575965	0.531458683768924	0.722612186619089	0.469918179003525	0.646804002201898	MTCO3P12
ENSG00000268663	1.53616638050271	-3.49121967346776	2.84194687280111	-1.2284605693655	0.219274122619854		WBP1LP6
ENSG00000229376	20.0471131970035	-0.0069050349900759	0.422844254213081	-0.0163299723746424	0.986971146229567	0.993097257695225	CICP3
ENSG00000228327	177.991095293338	0.552737282250614	0.140749757250681	3.92709225967735	8.59790069638369e-05	0.0006326895645028	ENSG00000228327
ENSG00000237491	101.638359335921	0.584670865759718	0.20991364269791	2.78529236235078	0.0053479479227827	0.0225384688133134	LINC01409
ENSG00000230092	1.56772171749187	1.43793003403041	1.87058113627792	0.768707652474034	0.442066881022182		ENSG00000230092
ENSG00000177757	5.4158691917219	0.565635616773999	0.830850261935294	0.680791284167701	0.496003565819668		FAM87B
ENSG00000228794	252.305111221787	-0.406398284041739	0.118095880264135	-3.44125707969477	0.0005790181207965	0.0033749603744397	LINC01128
ENSG00000225880	41.1627787140354	0.357145873954447	0.285133993862749	1.25255452398412	0.210367873689996	0.381181185914819	LINC00115
ENSG00000187634	3.86240949409248	1.47846519405984	0.868833280223458	1.7016673137562	0.0888177510670817		SAMD11
ENSG00000188976	2632.29630491002	-0.0541962204956184	0.0633447802563566	-0.855575159883514	0.392232814660849	0.57627672958023	NOC2L
ENSG00000187961	566.212056753358	0.805062193739619	0.0876089211731012	9.18927185678893	3.95509458878753e-20	2.17304576181941e-18	KLHL17
ENSG00000187583	66.3456897085759	0.270106602359601	0.231126857503821	1.16865086678702	0.242544325151384	0.420008274532376	PLEKHN1
ENSG00000187642	20.9177728028255	1.70788281360562	0.531646211455724	3.2124423663797	0.0013161155206652	0.0068192276645101	PERM1
ENSG00000272512	15.5065843488268	1.57161372738808	0.481455462885913	3.26429721654335	0.0010973598421727	0.0058505609560061	ENSG00000272512
ENSG00000188290	250.539092735464	-0.012501914591198	0.131528759535514	-0.0950508058872274	0.924274472298216	0.958097241844805	HES4
ENSG00000187608	215.761485581706	0.127174409790447	0.127442204480058	0.997898696976375	0.318328483907788	0.503282374181365	ISG15
