ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000198695	11144.3246427632	-0.135011148010556	0.0668622099280128	-2.0192444754057	0.0434618157750859	0.118975234979565	MT-ND6
ENSG00000198886	102245.472567147	-0.0700334952743119	0.0491960619952605	-1.42355896862352	0.154574180613141	0.306339758082344	MT-ND4
ENSG00000198938	57891.54925486	-0.365859729370087	0.117488312849758	-3.11400955972482	0.0018456350979455	0.0091580340368976	MT-CO3
ENSG00000198899	37827.1607010084	-0.230616836373565	0.112797405241018	-2.04452253029046	0.0409019539643928	0.113709098088383	MT-ATP6
ENSG00000228253	435.902047288925	0.442521836149852	0.226292258882696	1.95553236480459	0.0505202671515806	0.133620188705475	MT-ATP8
ENSG00000198712	50499.2068950649	-0.277227536224256	0.0588822611601267	-4.7081672945669	2.4995392625077e-06	2.70004187241389e-05	MT-CO2
ENSG00000198804	197227.141141898	0.017040764641636	0.0404110313663505	0.421685962111461	0.673254252187188	0.805008358471745	MT-CO1
ENSG00000210082	136116.592046784	-0.0526948824717417	0.0544132212118531	-0.96842056577718	0.332834372549282	0.518228365385082	MT-RNR2
ENSG00000211459	20023.5586469953	0.235420371254992	0.0508290244653881	4.63161301502651	3.62827853572958e-06	3.8043716629874e-05	MT-RNR1
ENSG00000124333_PAR_Y	111.506169906134	-0.121113022390151	1.56823726158601	-0.0772287620992153	0.938441561122753	0.968499556000972	
ENSG00000198692	277.064505488675	0.109634057398739	0.113442575951086	0.966427784979165	0.333830166338706	0.519210684439162	EIF1AY
ENSG00000260197	7.64465782022311	0.729595615697289	0.730012227160594	0.999429308924146	0.317586767736147		ENSG00000260197
ENSG00000267793	4.45929835930672	-0.477436326164214	0.948801136078169	-0.503199572607677	0.614823965272452		ENSG00000267793
ENSG00000176728	2.72360876188373	-1.9044590500982	1.36799674392858	-1.392151741991	0.16387645260346		TTTY14
ENSG00000165246	233.03340625533	0.219275809127531	0.133716919133387	1.63985089208342	0.101036173583733	0.225584854477286	NLGN4Y
ENSG00000154620	5.57475337115734	0.274853402492385	0.784559663657798	0.350328235345359	0.726092377512651		TMSB4Y
ENSG00000067048	2700.92332088433	0.380315270831204	0.055459456512752	6.85753692418094	7.0057920648492395e-12	1.77989793322693e-10	DDX3Y
ENSG00000225117	0.912595925626603	0.941063309872317	2.38651022937871	0.394326116137079	0.693340284202887		ARSDP1
ENSG00000206159	8.93433732735649	-0.256254904422267	0.642279225418276	-0.398977413998381	0.689909846487031	0.816705919354481	GYG2P1
ENSG00000278212	7.80095201504286	0.354790845839921	0.81095476035344	0.437497704169455	0.661750440708128	0.79591339852872	ENSG00000278212
ENSG00000218410	2.10718959454567	1.87884577987848	1.71124444850596	1.09794119800876	0.272230166759732		ENSG00000218410
ENSG00000286050	1.59655780457627	-3.68250555337777	1.89761841114936	-1.94059328879894	0.0523076287753313		ENSG00000286050
ENSG00000067646	181.128203836726	-0.174228508077429	0.170166183266519	-1.0238726915826	0.305895410294266	0.489817594707092	ZFY
ENSG00000129824	3365.49983587514	-0.162405405938315	0.0478149954820932	-3.39653709680127	0.0006824430630628	0.0038887599969217	RPS4Y1
ENSG00000184895	12.0364348371332	0.214949328236367	0.639186625620496	0.336285710026713	0.736655424837462	0.849136661539614	SRY
ENSG00000289007_PAR_Y	1.33979396086681	1.57540049067869	1.84989394725931	0.851616652410107	0.394426894033288		
ENSG00000214717_PAR_Y	631.280422491566	-0.128943004318842	0.53051228163857	-0.243053759133683	0.807963752039711	0.895055019689853	
ENSG00000223571_PAR_Y	1.22106918387771	-0.326764468150625	2.0235211168928	-0.161483102608974	0.871712918861157		
ENSG00000197976_PAR_Y	666.563380409656	0.261627855151548	0.196796735039182	1.32943188869194	0.18370552301454	0.344663054862341	
ENSG00000182162_PAR_Y	51.841381280293	-1.91580617498531	2.50485881103875	-0.764835992568717	0.444369212296849	0.624095381408398	
ENSG00000236871_PAR_Y	1.64522001721392	3.34436061518139	1.65278973853341	2.02346404821522	0.0430253265969031		
ENSG00000169100_PAR_Y	5058.39519863075	-0.0256910902365491	0.0501814518865592	-0.511963868535066	0.608676297061168	0.756562466918331	
ENSG00000167393_PAR_Y	174.968077909412	-0.203344252722062	1.19558725994568	-0.170078972513726	0.864948030078829	0.927315211257852	
ENSG00000178605_PAR_Y	484.776647005133	0.0597272678087391	0.131106852926411	0.455561753452074	0.648705151369765	0.786524684607448	
ENSG00000124333	188.017490717289	0.275515330395864	0.741628236268118	0.371500594128213	0.710264713512145	0.830130923418734	VAMP7
ENSG00000185973	232.511955440492	0.117568438936003	0.14130783973162	0.832002238228934	0.405407681140101	0.58910251933791	TMLHE
